%ClusterID SubID  Start Stop   Delta  Z1        Z2
1 1   0.00000000   0.39994027 0   0.78567116   0.00000000 
1 1   0.39994027   0.57234564 1   0.77520945   0.00000000 
1 2   0.00000000   0.13244074 0   0.97042968   1.00000000 
2 1   0.00000000   0.14749615 0   0.72317993   1.00000000 
2 1   0.14749615   1.49602095 0   0.48501688   1.00000000 
2 2   0.00000000   0.18650503 1   0.45742431   0.00000000 
3 1   0.00000000   0.97226420 0   0.55545966   0.00000000 
3 2   0.00000000   2.16431744 0   0.72735034   1.00000000 
4 1   0.00000000   0.22412356 0   0.49704924   0.00000000 
4 2   0.00000000   1.34712325 0   0.75674444   0.00000000 
5 1   0.00000000   0.49581161 0   0.27641575   1.00000000 
5 1   0.49581161   1.31243644 1   0.71950322   1.00000000 
5 2   0.00000000   0.42262976 0   0.05931588   1.00000000 
6 1   0.00000000   0.43979483 1   0.26341693   0.00000000 
6 2   0.00000000   0.58009017 0   0.99730268   1.00000000 
7 1   0.00000000   0.08151992 0   0.28908656   1.00000000 
7 2   0.00000000   1.47168184 0   0.69516854   0.00000000 
8 1   0.00000000   0.36308973 0   0.61228561   0.00000000 
8 1   0.36308973   0.73594908 1   0.68426474   0.00000000 
8 2   0.00000000   0.36797225 1   0.95449253   0.00000000 
9 1   0.00000000   1.06855294 0   0.79229881   1.00000000 
9 1   1.06855294   3.23286472 0   0.16611522   1.00000000 
9 2   0.00000000   0.58423210 0   0.79723243   0.00000000 
9 2   0.58423210   3.58436005 0   0.08547227   0.00000000 
10 1   0.00000000   2.11147498 0   0.22924217   0.00000000 
10 1   2.11147498   3.51272795 0   0.87319597   0.00000000 
10 2   0.00000000   1.01323951 0   0.50368689   0.00000000 
11 1   0.00000000   0.15070721 1   0.47386254   1.00000000 
11 2   0.00000000   0.82015851 0   0.10102688   1.00000000 
11 2   0.82015851   1.06670649 0   0.95878228   1.00000000 
12 1   0.00000000   2.34831954 0   0.05160747   1.00000000 
12 1   2.34831954   2.50076446 0   0.36677265   1.00000000 
12 1   2.50076446   2.64589877 1   0.34784996   1.00000000 
12 2   0.00000000   0.37021799 0   0.01182595   0.00000000 
12 2   0.37021799   1.55534688 1   0.75881025   0.00000000 
13 1   0.00000000   0.38520635 0   0.73237205   0.00000000 
13 1   0.38520635   0.77602711 1   0.97710778   0.00000000 
13 2   0.00000000   0.59195071 0   0.46804031   0.00000000 
14 1   0.00000000   0.10595174 1   0.32016928   1.00000000 
14 2   0.00000000   0.46678875 1   0.52087068   0.00000000 
15 1   0.00000000   0.71821021 0   0.73973992   1.00000000 
15 1   0.71821021   2.44997431 0   0.80885709   1.00000000 
15 1   2.44997431   3.29442214 0   0.46119353   1.00000000 
15 2   0.00000000   0.18117848 0   0.93733937   1.00000000 
16 1   0.00000000   0.51761985 0   0.90922188   1.00000000 
16 1   0.51761985   1.99955872 0   0.29217007   1.00000000 
16 2   0.00000000   1.47819456 0   0.50927082   0.00000000 
17 1   0.00000000   0.56589861 1   0.75340450   1.00000000 
17 2   0.00000000   1.08624896 0   0.14655561   1.00000000 
17 2   1.08624896   1.22098449 0   0.16007582   1.00000000 
17 2   1.22098449   3.83913316 0   0.39437929   1.00000000 
18 1   0.00000000   0.14854475 0   0.02656745   1.00000000 
18 2   0.00000000   0.62863008 0   0.56751039   1.00000000 
18 2   0.62863008   1.02870910 0   0.14705408   1.00000000 
19 1   0.00000000   0.82843404 0   0.87270895   1.00000000 
19 1   0.82843404   1.63241384 0   0.61927009   1.00000000 
19 2   0.00000000   0.43915138 1   0.90266822   0.00000000 
20 1   0.00000000   2.54911468 0   0.80557707   1.00000000 
20 1   2.54911468   2.97038272 0   0.33377461   1.00000000 
20 1   2.97038272   3.08618522 1   0.74989564   1.00000000 
20 2   0.00000000   0.24668312 0   0.44294209   0.00000000 
21 1   0.00000000   0.09601989 0   0.76964506   0.00000000 
21 2   0.00000000   0.07853802 1   0.55729128   1.00000000 
22 1   0.00000000   0.03676905 0   0.58625074   1.00000000 
22 1   0.03676905   1.97741090 0   0.11617003   1.00000000 
22 1   1.97741090   2.60091293 1   0.46964963   1.00000000 
22 2   0.00000000   0.94632462 0   0.36563388   0.00000000 
23 1   0.00000000   1.12699300 0   0.34285774   1.00000000 
23 1   1.12699300   2.30209888 0   0.41002916   1.00000000 
23 2   0.00000000   1.48549507 0   0.23208852   0.00000000 
23 2   1.48549507   2.23928334 0   0.71174502   0.00000000 
24 1   0.00000000   0.40952815 0   0.23632428   0.00000000 
24 1   0.40952815   1.14203759 1   0.90215291   0.00000000 
24 2   0.00000000   1.06086897 0   0.50620901   0.00000000 
24 2   1.06086897   1.41077462 0   0.85483937   0.00000000 
25 1   0.00000000   0.07849176 1   0.93237932   0.00000000 
25 2   0.00000000   2.37286341 0   0.17884561   1.00000000 
25 2   2.37286341   2.63332974 0   0.85812960   1.00000000 
25 2   2.63332974   3.71290913 0   0.58424976   1.00000000 
26 1   0.00000000   1.19098571 0   0.22419127   0.00000000 
26 1   1.19098571   1.47352430 1   0.98267391   0.00000000 
26 2   0.00000000   1.55381079 0   0.12031032   1.00000000 
26 2   1.55381079   2.89786882 0   0.05561269   1.00000000 
26 2   2.89786882   3.48126494 0   0.68243903   1.00000000 
27 1   0.00000000   0.93873240 0   0.31884231   1.00000000 
27 1   0.93873240   1.70193247 0   0.78273785   1.00000000 
27 2   0.00000000   0.64592410 0   0.66953525   1.00000000 
28 1   0.00000000   1.56403779 0   0.69578156   1.00000000 
28 1   1.56403779   2.40403314 0   0.00067122   1.00000000 
28 2   0.00000000   0.48395885 0   0.28997078   1.00000000 
28 2   0.48395885   0.72805792 1   0.53896866   1.00000000 
29 1   0.00000000   0.41602031 0   0.18554108   1.00000000 
29 2   0.00000000   0.58463612 0   0.42094726   1.00000000 
29 2   0.58463612   1.30146878 1   0.86051978   1.00000000 
30 1   0.00000000   1.42481740 0   0.77481599   1.00000000 
30 1   1.42481740   2.90611646 0   0.33233642   1.00000000 
30 1   2.90611646   3.01922147 0   0.57827157   1.00000000 
30 2   0.00000000   0.21873173 0   0.94786504   1.00000000 
31 1   0.00000000   1.68119573 0   0.96416326   1.00000000 
31 1   1.68119573   3.20471715 0   0.69191169   1.00000000 
31 1   3.20471715   3.21388106 0   0.95985645   1.00000000 
31 2   0.00000000   0.71237038 0   0.93164806   0.00000000 
31 2   0.71237038   0.80893238 0   0.20886139   0.00000000 
31 2   0.80893238   1.64360705 0   0.33334640   0.00000000 
32 1   0.00000000   0.22293733 0   0.72693713   1.00000000 
32 1   0.22293733   2.72405399 0   0.63228073   1.00000000 
32 2   0.00000000   2.02623703 0   0.16962357   0.00000000 
32 2   2.02623703   2.37951789 0   0.86328839   0.00000000 
33 1   0.00000000   1.33382800 1   0.57105714   1.00000000 
33 2   0.00000000   0.64972684 1   0.83951487   1.00000000 
34 1   0.00000000   1.73137915 0   0.88466949   0.00000000 
34 1   1.73137915   2.91003553 0   0.64012019   0.00000000 
34 2   0.00000000   0.43989272 0   0.31662642   1.00000000 
35 1   0.00000000   1.29690367 0   0.26498161   1.00000000 
35 1   1.29690367   2.78647305 0   0.54592529   1.00000000 
35 2   0.00000000   1.19862309 0   0.19155724   1.00000000 
35 2   1.19862309   1.25833083 0   0.50256113   1.00000000 
35 2   1.25833083   3.30821140 0   0.54496440   1.00000000 
36 1   0.00000000   1.36165027 0   0.17242566   1.00000000 
36 2   0.00000000   0.15328396 0   0.40765507   1.00000000 
36 2   0.15328396   0.24356700 0   0.45872673   1.00000000 
36 2   0.24356700   1.97400629 1   0.82011889   1.00000000 
37 1   0.00000000   1.24917127 0   0.29782932   1.00000000 
37 1   1.24917127   1.31986424 0   0.61746500   1.00000000 
37 2   0.00000000   0.33444897 0   0.10852346   0.00000000 
38 1   0.00000000   0.89000099 0   0.68888697   1.00000000 
38 1   0.89000099   1.99667319 0   0.12323665   1.00000000 
38 2   0.00000000   0.58722298 0   0.36415095   0.00000000 
38 2   0.58722298   1.05245357 0   0.28496058   0.00000000 
38 2   1.05245357   2.86853976 1   0.33243214   0.00000000 
39 1   0.00000000   0.10999003 0   0.63264780   0.00000000 
39 2   0.00000000   0.35776705 0   0.76533878   1.00000000 
40 1   0.00000000   0.35746696 1   0.96041024   1.00000000 
40 2   0.00000000   0.28317378 0   0.33906243   0.00000000 
40 2   0.28317378   1.30659290 1   0.62223176   0.00000000 
41 1   0.00000000   0.40765296 0   0.86414638   0.00000000 
41 2   0.00000000   0.26931648 0   0.17807272   0.00000000 
41 2   0.26931648   2.40213675 0   0.86812539   0.00000000 
41 2   2.40213675   2.87807494 0   0.58347222   0.00000000 
42 1   0.00000000   0.30158295 1   0.71149021   0.00000000 
42 2   0.00000000   0.05170434 1   0.87098990   0.00000000 
43 1   0.00000000   2.19917517 0   0.38425007   1.00000000 
43 1   2.19917517   2.92129465 0   0.09100723   1.00000000 
43 1   2.92129465   3.74544884 0   0.55851317   1.00000000 
43 2   0.00000000   1.35703564 0   0.03509446   1.00000000 
43 2   1.35703564   1.76868991 0   0.83255048   1.00000000 
44 1   0.00000000   1.18642061 0   0.10488856   0.00000000 
44 2   0.00000000   1.43384333 0   0.06401304   1.00000000 
44 2   1.43384333   2.32073458 0   0.86720558   1.00000000 
45 1   0.00000000   0.01655337 0   0.20787814   1.00000000 
45 2   0.00000000   1.39438978 0   0.27135673   0.00000000 
45 2   1.39438978   2.22465419 1   0.69252841   0.00000000 
46 1   0.00000000   0.98057788 0   0.14310355   1.00000000 
46 1   0.98057788   3.13280065 0   0.14141609   1.00000000 
46 1   3.13280065   3.83166700 0   0.78025830   1.00000000 
46 2   0.00000000   0.39741967 0   0.89052011   0.00000000 
47 1   0.00000000   0.46802011 0   0.15794069   0.00000000 
47 2   0.00000000   0.15640377 0   0.16952807   0.00000000 
47 2   0.15640377   1.54436582 0   0.25822528   0.00000000 
47 2   1.54436582   2.17148516 1   0.99224150   0.00000000 
48 1   0.00000000   0.29545123 1   0.74696254   1.00000000 
48 2   0.00000000   0.69091800 0   0.06469394   1.00000000 
48 2   0.69091800   1.27903201 0   0.31109489   1.00000000 
48 2   1.27903201   2.05603072 1   0.57189496   1.00000000 
49 1   0.00000000   0.41895211 0   0.35701337   1.00000000 
49 2   0.00000000   1.08781546 0   0.72859476   1.00000000 
49 2   1.08781546   1.54863482 0   0.49220653   1.00000000 
50 1   0.00000000   0.38465630 0   0.22959685   0.00000000 
50 1   0.38465630   2.50469356 0   0.83430665   0.00000000 
50 1   2.50469356   2.79960686 0   0.19183166   0.00000000 
50 2   0.00000000   0.63344621 0   0.19712046   1.00000000 
50 2   0.63344621   2.33050446 0   0.00354509   1.00000000 
50 2   2.33050446   3.17094132 0   0.58227439   1.00000000 
51 1   0.00000000   1.66381897 0   0.95135398   0.00000000 
51 1   1.66381897   1.90159591 0   0.40637662   0.00000000 
51 2   0.00000000   0.18825474 0   0.99937019   1.00000000 
51 2   0.18825474   1.13192052 0   0.41479644   1.00000000 
51 2   1.13192052   2.59025542 0   0.48384743   1.00000000 
52 1   0.00000000   0.19060422 0   0.21462395   0.00000000 
52 2   0.00000000   0.40915444 0   0.16465849   0.00000000 
52 2   0.40915444   0.58261170 0   0.41527575   0.00000000 
53 1   0.00000000   0.19901081 0   0.02542595   0.00000000 
53 1   0.19901081   0.77468327 0   0.33389599   0.00000000 
53 1   0.77468327   0.78304732 1   0.78986226   0.00000000 
53 2   0.00000000   0.03155130 0   0.56798797   1.00000000 
53 2   0.03155130   1.56666377 1   0.17373926   1.00000000 
54 1   0.00000000   0.77859616 0   0.87005295   0.00000000 
54 1   0.77859616   1.56719949 0   0.97988252   0.00000000 
54 2   0.00000000   1.59668937 0   0.12395544   0.00000000 
54 2   1.59668937   1.98594494 0   0.31916338   0.00000000 
55 1   0.00000000   0.67739924 0   0.53771357   1.00000000 
55 1   0.67739924   1.04897667 0   0.35191351   1.00000000 
55 1   1.04897667   1.22404072 0   0.61028522   1.00000000 
55 2   0.00000000   0.02811942 0   0.82408994   1.00000000 
55 2   0.02811942   0.60304018 0   0.47970135   1.00000000 
55 2   0.60304018   3.63019256 0   0.34063196   1.00000000 
56 1   0.00000000   0.52615610 1   0.96231943   1.00000000 
56 2   0.00000000   0.06234071 1   0.63817225   0.00000000 
57 1   0.00000000   1.41368890 1   0.04270277   0.00000000 
57 2   0.00000000   0.04027898 0   0.63193417   0.00000000 
57 2   0.04027898   0.96879442 0   0.91760258   0.00000000 
57 2   0.96879442   2.28930869 0   0.14659340   0.00000000 
58 1   0.00000000   0.62879151 0   0.62691214   1.00000000 
58 2   0.00000000   1.15967925 0   0.45155073   1.00000000 
58 2   1.15967925   2.72920844 0   0.21309198   1.00000000 
58 2   2.72920844   2.77797749 0   0.43698333   1.00000000 
59 1   0.00000000   0.32101842 0   0.68415201   1.00000000 
59 1   0.32101842   2.77078703 0   0.54291396   1.00000000 
59 2   0.00000000   2.26721519 0   0.27143093   1.00000000 
59 2   2.26721519   3.09814469 0   0.93966818   1.00000000 
60 1   0.00000000   0.06656861 0   0.70467002   0.00000000 
60 1   0.06656861   0.23320565 0   0.38907716   0.00000000 
60 2   0.00000000   0.46548318 0   0.60419105   0.00000000 
61 1   0.00000000   0.54730779 0   0.85524780   0.00000000 
61 2   0.00000000   1.69396601 0   0.62169612   0.00000000 
61 2   1.69396601   1.80888539 0   0.84665673   0.00000000 
62 1   0.00000000   0.02614233 0   0.88336810   1.00000000 
62 2   0.00000000   0.00238765 1   0.74460313   0.00000000 
63 1   0.00000000   0.60425808 1   0.99771178   1.00000000 
63 2   0.00000000   1.79286346 0   0.16402417   0.00000000 
63 2   1.79286346   1.93512447 0   0.75416424   0.00000000 
64 1   0.00000000   0.29234502 0   0.74420969   0.00000000 
64 2   0.00000000   0.78040529 0   0.06793840   1.00000000 
64 2   0.78040529   1.14290358 0   0.84061834   1.00000000 
64 2   1.14290358   1.33289945 0   0.27238154   1.00000000 
65 1   0.00000000   0.57188058 1   0.92800344   0.00000000 
65 2   0.00000000   0.19496688 0   0.14818418   1.00000000 
65 2   0.19496688   0.55346322 0   0.53143269   1.00000000 
66 1   0.00000000   0.56780581 1   0.32910998   0.00000000 
66 2   0.00000000   0.26882210 1   0.62660129   0.00000000 
67 1   0.00000000   0.36732175 0   0.98427763   1.00000000 
67 1   0.36732175   1.57672024 0   0.75409193   1.00000000 
67 1   1.57672024   2.66898576 0   0.02313005   1.00000000 
67 2   0.00000000   0.05608796 0   0.66756853   1.00000000 
67 2   0.05608796   0.90110549 1   0.82426472   1.00000000 
68 1   0.00000000   1.30707065 0   0.00502703   1.00000000 
68 2   0.00000000   0.01200360 1   0.00820619   0.00000000 
69 1   0.00000000   0.21909000 0   0.56139141   0.00000000 
69 1   0.21909000   0.54097811 0   0.30550190   0.00000000 
